b; rf; rwz; rs; st; f; rs; b; f; rs; b; f; rwz; rwz; rwz; f; b; rs; b; rw;
b; rw; rs; rf; rwz; rw; rf; rw; rs; rs; rs; f; f; b; rwz; st; b; rw; st; st;
b; st; rs; rwz; rwz; rwz; rs; b; rw; f; b; rf; b; rs; rfz; rs; b; f; rf; rs;
b; b; rwz; st; rw; rfz; rw; rf; b; rfz; rw; b; rs; rfz; st; b; rwz; b; rf; st;
st; st; rwz; st; rw; b; rw; rwz; rf; st; rf; st; f; st; b; f; rfz; rfz; rwz; b;
st; rw; rw; rw; rw; rwz; b; st; rfz; rf; b; b; st; rw; rw; rf; st; rwz; rfz; rwz;
st; st; rwz; rw; rwz; f; rw; rw; rs; rs; rs; b; st; rw; rw; rw; rf; rwz; rwz; st;
b; f; rw; rw; rf; rs; rs; rwz; st; rs; st; b; rf; f; f; rw; b; f; rf; rfz;
b; f; rf; b; rw; f; rf; b; rf; rw; f; st; st; rw; rwz; rf; rw; rfz; b; rfz;
st; rf; rs; rs; f; rfz; rf; rs; rfz; b; rwz; rw; rs; rfz; rw; rs; st; rwz; rf; rf;
st; rwz; rwz; rw; rwz; st; rw; rwz; b; b; rf; st; rfz; rwz; f; rwz; rw; st; f; f;
b; st; rfz; rw; rf; rf; rf; st; f; rwz; rwz; rwz; rw; rf; rw; rs; rs; st; f; b;
b; rs; rw; f; b; rw; rwz; b; rs; rs; rs; f; rfz; rf; rwz; rw; rs; f; rwz; rw;
st; rf; rfz; rwz; rwz; b; rw; st; b; rfz; rfz; rw; rs; rwz; b; rw; rf; f; st; st;
st; rw; rs; b; rs; rs; rfz; b; rf; b; rw; rwz; rwz; b; f; st; f; rwz; rf; rf;
b; rs; b; rfz; rf; st; st; rf; rf; rw; f; st; st; st; rs; rwz; rwz; rs; rfz; rfz;
b; rs; b; b; f; f; st; rfz; rf; st; rwz; rfz; f; f; f; rw; b; rw; f; rfz;
st; st; rf; f; rwz; f; rf; f; b; rw; rs; rfz; st; rfz; rwz; f; rw; f; rw; rfz;
st; rw; f; f; rs; rf; rfz; st; rw; rw; rwz; rwz; rwz; rw; b; rw; rf; b; f; rfz;
st; rwz; rwz; rf; st; rf; st; rfz; rfz; rfz; rs; st; rs; b; rf; b; rf; rwz; rfz; st;
b; f; st; st; rwz; rfz; f; st; b; rf; rw; rwz; rfz; rfz; st; rw; rw; rf; rw; st;
st; rwz; rw; rs; rs; rwz; st; f; rw; rwz; rs; rwz; st; st; rf; rs; rf; rf; rf; rs;
st; rs; st; f; b; rs; rwz; f; rfz; f; rw; rw; rw; f; rs; b; st; rfz; rw; rwz;
b; rs; rf; rfz; rfz; rs; rfz; f; b; rf; rf; st; rf; b; rfz; st; st; rw; rf; rw;
st; rfz; rwz; rs; rs; b; f; rwz; st; rfz; b; rfz; rw; rwz; f; rs; f; rfz; b; st;
