st; rw; rf; rw; st; rwz; rw; f; st; st; b; rs; f; rw; rfz; rwz; rwz; st; b; rs;
st; rs; rf; rfz; st; rfz; rf; rw; b; rf; f; b; st; f; rw; rs; rfz; rs; f; rs;
st; rfz; st; st; rf; rs; b; rfz; rf; rw; b; rw; b; st; b; st; rf; rfz; rf; f;
b; rw; rs; rwz; st; rfz; rfz; rwz; rf; f; b; b; rf; rw; b; rf; rf; rs; rwz; rw;
st; st; rf; rw; rw; rwz; rf; rs; rs; st; rs; rs; b; st; rfz; rs; rs; rwz; rf; st;
st; rf; rf; f; st; rwz; b; f; rs; rs; rwz; rfz; f; rw; st; f; rwz; rf; b; f;
st; f; f; rf; f; rw; f; st; st; rf; st; rf; st; st; rw; rs; b; rw; st; rw;
st; rf; rf; st; b; f; f; rf; rf; rfz; f; rs; rf; rw; st; rw; b; rwz; rf; rs;
st; st; rf; st; rf; f; rwz; rf; rwz; st; rwz; rf; rs; rwz; rwz; rw; f; b; f; rwz;
st; b; rw; st; rfz; st; rs; rwz; f; st; rs; b; b; f; st; rwz; rwz; f; st; rwz;
st; f; b; rfz; b; rfz; rfz; rwz; b; f; st; f; rs; rs; rw; rfz; rwz; rf; rwz; b;
st; rwz; st; rf; rwz; f; rfz; rw; f; rs; rf; rf; st; rwz; rs; rwz; rfz; rf; rwz; rwz;
b; f; rw; rwz; rw; rwz; st; f; b; st; rfz; rs; f; rf; rs; rs; rw; rfz; st; rwz;
b; f; rwz; rf; rf; f; rfz; b; rf; rfz; b; rfz; st; rwz; rwz; st; rfz; rf; rwz; f;
b; rfz; rf; rfz; rwz; rw; b; rs; f; rs; rw; f; st; f; st; rwz; rf; rfz; rfz; rs;
st; rs; rf; rw; st; rfz; rw; st; st; st; b; rw; rs; rfz; rf; st; b; b; rwz; st;
st; st; rf; b; rs; b; rw; rf; rs; rs; f; f; rwz; rfz; rs; rw; st; rfz; rf; f;
st; st; rwz; rs; rs; rwz; rw; b; b; rfz; rf; f; rw; f; rs; rwz; b; rw; rw; rs;
b; rwz; b; f; f; st; rf; st; rs; rs; rf; f; b; rs; rs; rf; rwz; st; st; rs;
b; rs; rw; rw; rf; rwz; rfz; rs; rf; rwz; rwz; rfz; rf; b; rs; b; rwz; rwz; rwz; rwz;
b; rfz; st; rwz; b; st; b; rf; rs; rwz; rf; b; rs; rs; rw; rw; f; b; rwz; b;
st; rwz; rw; rfz; rf; rf; rw; rwz; rfz; rw; rf; b; rfz; rw; f; rf; rs; rf; rf; rwz;
b; b; rf; rs; rwz; rf; rf; rw; rwz; rwz; rwz; rs; rs; rf; rw; rw; b; rw; rw; rs;
b; rw; b; rf; rf; f; rs; rs; b; rf; st; rwz; b; rs; rf; rw; rwz; f; b; rf;
st; f; rf; rf; b; rs; rw; b; b; rs; rfz; rf; f; rf; rwz; rw; b; rf; rf; b;
b; st; rwz; f; rs; b; st; rwz; rf; rs; st; f; rf; st; rf; st; f; rfz; rwz; st;
b; rfz; rs; st; f; rwz; f; rw; rwz; rf; f; st; rwz; rfz; b; st; rw; rs; rw; rfz;
b; st; b; rwz; rwz; rs; rf; f; f; rs; rfz; st; b; rwz; rs; rs; b; b; b; rs;
b; rfz; f; st; b; rfz; rwz; rw; st; b; rwz; b; rfz; rs; st; rw; st; rf; rwz; b;
st; rw; b; rfz; b; rs; rf; f; st; rw; st; st; rw; rf; rf; st; st; rw; rw; rwz;
st; st; st; rs; f; rwz; rfz; rs; rfz; rfz; b; rfz; f; rfz; rw; rwz; rfz; rwz; rf; rf;
b; b; rs; f; rwz; f; f; st; st; rwz; rf; rs; rf; b; rf; f; rs; rw; rfz; rfz;
st; rs; f; b; rwz; rwz; rfz; rw; rfz; rf; f; rwz; f; st; rwz; rf; rw; st; b; b;
st; rs; rw; b; rfz; rf; rfz; rf; rfz; rwz; rfz; rwz; rwz; b; rs; b; rw; st; rf; f;
st; rfz; rw; b; rs; st; rw; rwz; rw; rf; rfz; b; rf; rs; b; rw; st; f; rwz; f;
st; st; rs; rfz; rwz; f; f; rwz; st; rw; rw; rfz; rfz; rwz; rfz; st; rs; rs; rw; f;
