b; b; f; rwz; st; rf; rfz; rs; b; rfz; rw; rs; rwz; rwz; rf; rf; rfz; rfz; rs; rs;
st; rwz; rs; st; rw; f; b; b; b; f; rwz; rwz; rwz; rf; rw; st; b; rfz; b; rw;
b; st; rw; st; rf; rfz; f; rf; b; rw; rw; rfz; rs; b; b; b; rw; rw; rfz; f;
b; st; rs; rf; st; rs; rwz; rw; rwz; st; rwz; rfz; rw; b; rfz; rwz; b; rf; rf; rwz;
b; rwz; b; rs; rw; rfz; rf; rfz; f; rwz; rw; rfz; rf; rw; f; rf; st; rwz; rfz; rwz;
b; rwz; rs; rf; rwz; rs; rs; b; rwz; st; rf; rfz; rfz; rs; rwz; rf; b; rs; st; rwz;
b; b; st; rwz; rfz; b; rwz; rw; b; rs; rfz; rs; st; rfz; rw; rs; rwz; b; f; rfz;
st; st; rwz; rw; f; rfz; f; st; rf; b; rf; rf; rs; rw; f; st; rfz; rw; st; rf;
st; b; rw; b; rf; f; rwz; st; rwz; rf; rs; rfz; f; f; f; rfz; rf; rs; rfz; rf;
b; rwz; rfz; f; rs; st; b; f; st; b; f; rfz; rs; st; rfz; st; rs; rw; b; st;
st; rw; rf; rfz; rf; f; f; rfz; rf; rf; st; rs; st; rwz; rfz; f; rfz; rf; st; rf;
st; rs; rfz; rs; rf; rs; rwz; rw; rf; rfz; rf; f; rf; rf; f; rwz; rfz; b; f; rf;
st; rwz; rfz; rs; rwz; rf; rf; rfz; f; f; rfz; st; rs; st; st; rwz; b; st; rwz; rs;
st; rwz; rs; f; rs; st; rwz; rf; rwz; rfz; rw; rf; rf; rfz; st; b; rwz; b; rf; rw;
st; rs; rwz; b; rs; rwz; rwz; rfz; st; rf; rwz; rf; st; rs; f; rw; st; rfz; rfz; rf;
b; rs; rwz; st; st; rf; rf; rwz; rw; f; b; rwz; st; b; f; rfz; rf; rf; rf; b;
b; rf; rf; f; rw; rwz; rwz; rfz; rwz; f; rw; rwz; f; rf; rf; st; rf; rf; rw; st;
b; rwz; rwz; b; rw; rw; rf; rf; rf; rf; b; rwz; st; rf; rf; f; b; rwz; f; rs;
st; rw; rs; rfz; rf; rf; b; rwz; b; st; b; rwz; rwz; rf; b; rs; f; rf; f; f;
b; b; rf; rs; rw; st; rs; b; rf; rf; f; rwz; f; rfz; f; rwz; rw; b; st; rf;
st; rfz; rwz; b; st; st; f; rf; rwz; rf; b; rs; rfz; b; st; rwz; st; rwz; rwz; rs;
st; st; st; rw; rf; st; rwz; rs; rs; rfz; rfz; st; f; b; f; rf; f; f; rs; rfz;
st; rf; rfz; rf; st; b; rf; rwz; rwz; rfz; f; rs; rwz; f; b; rw; rf; rfz; b; rwz;
