b; f; rw; st; f; f; rf; rf; rw; rwz; st; rs; st; st; rfz; rf; rf; st; rw; f;
b; b; st; b; st; b; rf; st; rfz; rf; rwz; b; b; b; b; rwz; f; rs; st; f;
st; b; f; rwz; b; st; rs; rs; st; st; st; b; st; rwz; rwz; rw; st; st; rs; rw;
b; f; st; rwz; st; b; rwz; rfz; rs; rs; rs; st; b; f; st; rwz; rfz; b; rs; rf;
st; f; rf; rw; rw; f; b; b; rf; rf; st; rw; f; rs; rw; rs; rs; st; rf; b;
st; rwz; b; st; rs; f; rw; f; rs; b; rwz; b; rs; st; rs; rwz; rf; rf; rwz; rw;
b; b; rw; st; rw; st; b; rf; rfz; f; rw; rfz; b; f; rf; rw; b; rf; st; rwz;
b; b; rf; rf; rs; rs; rwz; rw; b; rw; rfz; rs; rw; rf; st; f; rwz; b; f; rw;
b; rs; b; rs; rw; rfz; b; rs; b; f; rw; rf; rw; b; rfz; st; rs; rwz; rs; st;
b; rfz; st; b; rf; rwz; rwz; rs; rwz; st; b; f; rw; rs; st; b; f; rfz; rf; b;
b; b; rf; rs; rs; rf; rs; st; rwz; b; b; rfz; rwz; rf; rs; rfz; rwz; f; rw; rfz;
b; b; f; b; rwz; b; rf; b; rw; rw; rfz; rw; rwz; rwz; rwz; b; b; b; b; b;
b; f; rf; rwz; f; rf; rw; rw; rwz; rfz; rf; rf; f; rw; rfz; rf; f; st; b; f;
b; rfz; rfz; f; b; st; rs; st; rw; rfz; f; st; rs; rf; rwz; rw; rs; st; rwz; b;
st; f; st; rf; rs; rwz; rs; rs; rwz; rs; rfz; rfz; rfz; rf; f; rw; rfz; rf; rwz; rw;
st; b; rs; rfz; rfz; rw; rs; rs; rs; rw; st; st; rwz; rs; b; rs; st; rw; b; st;
st; rw; rw; rf; st; rs; rs; rfz; b; rw; b; st; b; f; rs; b; st; st; rs; rs;
b; rfz; b; rw; rfz; b; rs; rf; rs; rs; b; rs; rw; rw; f; rfz; st; rwz; rwz; rs;
b; rfz; f; rwz; rfz; st; rfz; rfz; rwz; st; rwz; b; rf; f; rf; rs; st; st; st; b;
st; st; rs; rf; rfz; rfz; f; rs; rf; b; rw; rw; rfz; rw; b; rf; f; rf; st; rf;
