st; b; rw; rw; rs; rfz; rfz; rwz; b; st; rw; rw; rs; f; b; rf; rwz; rw; b; st;
b; rwz; st; rs; rf; rs; b; rw; f; rs; b; f; f; st; rw; rs; b; f; rs; st;
b; b; rw; rs; rs; b; rwz; rwz; rwz; f; rw; f; f; st; b; rs; rs; rf; f; f;
st; rw; rfz; rfz; rwz; st; st; b; rf; rw; b; rfz; rf; rw; rf; f; rf; b; f; st;
st; st; rw; b; f; rwz; rs; rs; rs; st; b; st; rwz; rf; b; st; rs; rs; b; rs;
b; rfz; st; b; rfz; rf; rwz; rfz; rw; rw; f; rs; b; rwz; b; rs; b; rfz; f; rfz;
st; rs; rwz; rwz; rf; b; b; b; rf; rfz; b; b; rs; rw; b; f; rf; rwz; f; rwz;
b; f; st; rwz; rfz; rfz; rf; rfz; rfz; f; st; rw; st; f; rf; rf; rfz; st; st; st;
st; f; f; rwz; rw; f; rw; st; rf; rfz; rfz; st; b; f; rs; st; rs; st; rfz; rwz;
b; rfz; rs; rf; b; rf; rfz; b; rwz; st; rs; f; b; rwz; rf; b; rs; rwz; rs; rw;
st; rs; rw; f; b; rf; rw; f; rs; f; rw; f; rf; b; st; f; rs; rwz; f; rs;
b; rfz; rf; rwz; rf; b; rw; st; rw; rw; rfz; rw; f; rs; rwz; st; rfz; f; rs; rfz;
st; rw; rwz; rfz; rs; rs; f; rs; rwz; st; rfz; rf; b; rw; f; b; f; rwz; b; b;
b; b; rf; f; st; f; b; b; st; rfz; rs; st; rw; f; st; rf; f; rwz; b; st;
st; b; st; rw; st; rs; rw; rf; b; rs; rwz; b; b; st; rs; st; rs; rf; st; b;
st; rfz; rw; rwz; rw; rf; rf; rs; rw; rw; rfz; rwz; f; rw; f; rs; rwz; rf; rfz; rf;
st; b; rfz; rwz; rwz; st; rfz; st; b; rfz; rwz; f; rfz; rwz; rw; f; rw; st; rw; b;
st; rwz; rf; b; st; rs; f; rs; rs; f; rw; f; rw; b; rs; rf; f; rw; rs; st;
b; st; b; rwz; rfz; rf; rw; rs; rfz; b; st; rwz; st; rf; rw; rw; f; b; rs; f;
st; rw; b; rfz; rs; f; st; rfz; rfz; rwz; rfz; rwz; st; rs; rfz; rfz; rw; f; rw; rs;
b; b; st; rwz; st; rwz; st; f; rw; rf; rwz; rf; rs; rfz; b; rfz; rs; st; rfz; rwz;
st; rwz; rs; st; rf; rw; f; rw; rs; rw; b; rfz; rwz; rf; b; f; b; rfz; rfz; rf;
st; st; b; st; rwz; rfz; f; rw; rs; rfz; rw; b; rs; rw; b; rfz; rwz; rfz; rwz; rwz;
