Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
aes_secworks_orig.bench,1,23741.96,605.50,14363305
aes_secworks_orig.bench,2,22971.31,603.38,13851513
aes_secworks_orig.bench,3,22682.74,602.39,13654564
aes_secworks_orig.bench,4,21609.45,572.72,12360348
aes_secworks_orig.bench,5,22760.09,624.25,14202240
aes_secworks_orig.bench,6,22973.47,582.82,13370286
aes_secworks_orig.bench,7,21856.47,598.19,13069888
aes_secworks_orig.bench,8,22850.45,618.80,14121300
aes_secworks_orig.bench,9,21890.05,614.45,13440460
aes_secworks_orig.bench,10,22078.27,569.76,12562382
aes_secworks_orig.bench,11,21651.84,644.58,13943244
aes_secworks_orig.bench,12,23046.64,653.30,15049038
aes_secworks_orig.bench,13,22214.09,582.08,12928548
aes_secworks_orig.bench,14,22900.61,586.72,13419400
aes_secworks_orig.bench,15,22979.36,643.19,14775497
aes_secworks_orig.bench,16,23381.96,594.53,13888314
aes_secworks_orig.bench,17,21270.55,626.35,13315020
aes_secworks_orig.bench,18,23912.78,627.69,14992824
aes_secworks_orig.bench,19,23018.24,561.60,12913098
aes_secworks_orig.bench,20,22608.76,575.38,12999600
aes_secworks_orig.bench,21,22145.84,596.98,13198420
aes_secworks_orig.bench,22,23806.41,592.13,14093152
aes_secworks_orig.bench,23,21333.53,605.75,12906465
aes_secworks_orig.bench,24,23397.10,593.01,13874421
aes_secworks_orig.bench,25,23032.71,613.46,14118616
aes_secworks_orig.bench,26,22308.52,638.10,14232504
aes_secworks_orig.bench,27,22925.32,601.99,13777925
aes_secworks_orig.bench,28,22871.08,603.19,13791213
aes_secworks_orig.bench,29,23341.96,589.75,13747849
aes_secworks_orig.bench,30,22064.08,582.22,12841248
aes_secworks_orig.bench,31,22559.23,646.98,14573114
aes_secworks_orig.bench,32,22219.58,602.08,13375838
aes_secworks_orig.bench,33,23620.53,600.64,14172000
aes_secworks_orig.bench,34,22762.49,644.33,14658728
aes_secworks_orig.bench,35,22574.50,667.06,15056858
aes_secworks_orig.bench,36,22456.83,607.63,13630792
aes_secworks_orig.bench,37,23312.19,637.97,14849744
aes_secworks_orig.bench,38,22438.90,622.80,13956436
aes_secworks_orig.bench,39,22641.49,597.44,13516677
aes_secworks_orig.bench,40,22016.99,594.25,13077504
aes_secworks_orig.bench,41,22356.07,564.68,12608784
aes_secworks_orig.bench,42,22406.50,592.24,13264352
aes_secworks_orig.bench,43,22540.09,575.32,12960500
aes_secworks_orig.bench,44,23777.64,572.02,13600444
aes_secworks_orig.bench,45,23315.15,575.29,13406125
aes_secworks_orig.bench,46,22482.01,590.18,13264380
aes_secworks_orig.bench,47,22279.22,616.98,13723864
aes_secworks_orig.bench,48,23290.74,622.58,14486380
aes_secworks_orig.bench,49,21344.37,603.69,12870432
aes_secworks_orig.bench,50,22073.51,602.29,13287946
aes_secworks_orig.bench,51,21849.46,588.40,12847212
aes_secworks_orig.bench,52,21308.31,622.49,13253576
