Design,Sample,Recipe,Area,Delay,QoR
simple_spi_orig,1,"st; b; rw; rw; rs; rfz; rfz; rwz; b; st; rw; rw; rs; f; b; rf; rwz; rw; b; st;",544.94,180.87,97920
simple_spi_orig,2,"b; rwz; st; rs; rf; rs; b; rw; f; rs; b; f; f; st; rw; rs; b; f; rs; st;",547.99,190.90,103930
simple_spi_orig,3,"b; b; rw; rs; rs; b; rwz; rwz; rwz; f; rw; f; f; st; b; rs; rs; rf; f; f;",540.77,185.18,99900
simple_spi_orig,4,"st; rw; rfz; rfz; rwz; st; st; b; rf; rw; b; rfz; rf; rw; rf; f; rf; b; f; st;",552.65,188.28,103776
simple_spi_orig,5,"st; st; rw; b; f; rwz; rs; rs; rs; st; b; st; rwz; rf; b; st; rs; rs; b; rs;",545.58,189.53,103005
simple_spi_orig,6,"b; rfz; st; b; rfz; rf; rwz; rfz; rw; rw; f; rs; b; rwz; b; rs; b; rfz; f; rfz;",550.19,190.09,104500
simple_spi_orig,7,"st; rs; rwz; rwz; rf; b; b; b; rf; rfz; b; b; rs; rw; b; f; rf; rwz; f; rwz;",532.78,180.03,95760
simple_spi_orig,8,"b; f; st; rwz; rfz; rfz; rf; rfz; rfz; f; st; rw; st; f; rf; rf; rfz; st; st; st;",567.36,196.41,111132
simple_spi_orig,9,"st; f; f; rwz; rw; f; rw; st; rf; rfz; rfz; st; b; f; rs; st; rs; st; rfz; rwz;",540.15,183.29,98820
simple_spi_orig,10,"b; rfz; rs; rf; b; rf; rfz; b; rwz; st; rs; f; b; rwz; rf; b; rs; rwz; rs; rw;",538.04,180.87,96840
simple_spi_orig,11,"st; rs; rw; f; b; rf; rw; f; rs; f; rw; f; rf; b; st; f; rs; rwz; f; rs;",556.84,185.97,102860
simple_spi_orig,12,"b; rfz; rf; rwz; rf; b; rw; st; rw; rw; rfz; rw; f; rs; rwz; st; rfz; f; rs; rfz;",542.79,201.86,108942
simple_spi_orig,13,"st; rw; rwz; rfz; rs; rs; f; rs; rwz; st; rfz; rf; b; rw; f; b; f; rwz; b; b;",560.79,178.94,99680
simple_spi_orig,14,"b; b; rf; f; st; f; b; b; st; rfz; rs; st; rw; f; st; rf; f; rwz; b; st;",521.29,202.19,105242
simple_spi_orig,15,"st; b; st; rw; st; rs; rw; rf; b; rs; rwz; b; b; st; rs; st; rs; rf; st; b;",541.18,185.97,100085
simple_spi_orig,16,"st; rfz; rw; rwz; rw; rf; rf; rs; rw; rw; rfz; rwz; f; rw; f; rs; rwz; rf; rfz; rf;",562.08,190.78,106780
simple_spi_orig,17,"st; b; rfz; rwz; rwz; st; rfz; st; b; rfz; rwz; f; rfz; rwz; rw; f; rw; st; rw; b;",530.74,201.86,106530
simple_spi_orig,18,"st; rwz; rf; b; st; rs; f; rs; rs; f; rw; f; rw; b; rs; rf; f; rw; rs; st;",544.25,190.90,103360
simple_spi_orig,19,"b; st; b; rwz; rfz; rf; rw; rs; rfz; b; st; rwz; st; rf; rw; rw; f; b; rs; f;",554.64,183.29,101382
simple_spi_orig,20,"st; rw; b; rfz; rs; f; st; rfz; rfz; rwz; rfz; rwz; st; rs; rfz; rfz; rw; f; rw; rs;",542.80,193.50,104606
simple_spi_orig,21,"b; b; st; rwz; st; rwz; st; f; rw; rf; rwz; rf; rs; rfz; b; rfz; rs; st; rfz; rwz;",550.60,191.44,105050
simple_spi_orig,22,"st; rwz; rs; st; rf; rw; f; rw; rs; rw; b; rfz; rwz; rf; b; f; b; rfz; rfz; rf;",569.91,183.99,104127
simple_spi_orig,23,"st; st; b; st; rwz; rfz; f; rw; rs; rfz; rw; b; rs; rw; b; rfz; rwz; rfz; rwz; rwz;",556.89,180.87,100080
simple_spi_orig,24,"st; rf; rfz; rfz; rwz; st; st; b; f; st; rw; f; f; st; f; rwz; rf; rs; f; f;",527.93,204.98,107508
