Design,Initial_Area,Initial_Delay,Initial_QoR,Recipe,Tool1,Tool2,Tool3,Tool4,Tool5,Tool6,Tool7,Tool8,Tool9,Tool10,Tool11,Tool12,Tool13,Tool14,Tool15,Tool16,Tool17,Tool18,Tool19,Tool20,Final_Area,Final_Delay,Final_QoR
simple_spi_orig.bench,613.13,185.99,113405,"b;rfz;rwz;b;rwz;rfz;rwz;rw;rw;rwz;rfz;rw;rfz;rs;rfz;rw;rf;b;rfz;f",1,8,6,1,6,8,6,2,2,6,8,2,8,4,8,2,3,1,8,7,565.30,194.45,109610
simple_spi_orig.bench,613.13,185.99,113405,"b;b;f;rwz;rfz;rf;rs;rfz;rs;rs;rf;rfz;rwz;rf;f;b;b;rw;f;st",1,1,7,6,8,3,4,8,4,4,3,8,6,3,7,1,1,2,7,5,546.73,183.29,99918
simple_spi_orig.bench,613.13,185.99,113405,"b;b;rwz;rfz;rfz;rs;rfz;rf;rfz;st;rfz;st;rfz;b;rfz;rw;rf;st;b;rfz",1,1,6,8,8,4,8,3,8,5,8,5,8,1,8,2,3,5,1,8,562.70,193.50,108466
simple_spi_orig.bench,613.13,185.99,113405,"b;rs;rfz;rf;rf;st;st;st;rw;b;f;st;st;rf;rw;st;rw;rwz;rf;rwz",1,4,8,3,3,5,5,5,2,1,7,5,5,3,2,5,2,6,3,6,545.31,185.18,100825
simple_spi_orig.bench,613.13,185.99,113405,"b;rf;rf;b;st;rf;rfz;st;st;rs;rs;rf;rs;rwz;rs;rf;rw;rw;rf;rf",1,3,3,1,5,3,8,5,5,4,4,3,4,6,4,3,2,2,3,3,532.16,202.19,107464
simple_spi_orig.bench,613.13,185.99,113405,"st;rf;rw;rf;rf;b;rfz;rf;rwz;rs;st;b;rf;b;st;rs;f;rfz;rw;rf",5,3,2,3,3,1,8,3,6,4,5,1,3,1,5,4,7,8,2,3,562.40,200.52,112400
simple_spi_orig.bench,613.13,185.99,113405,"st;b;rs;rf;rs;rwz;rw;rs;rwz;rw;rw;rf;b;rwz;rwz;f;st;rs;f;rfz",5,1,4,3,4,6,2,4,6,2,2,3,1,6,6,7,5,4,7,8,571.99,194.71,110774
simple_spi_orig.bench,613.13,185.99,113405,"st;st;rfz;rfz;rs;rfz;rfz;f;rfz;rs;rf;st;rf;rw;f;rf;b;b;rfz;rs",5,5,8,8,4,8,8,7,8,4,3,5,3,2,7,3,1,1,8,4,546.52,199.34,108654
simple_spi_orig.bench,613.13,185.99,113405,"st;rfz;rf;rw;rwz;rs;rfz;b;rwz;rwz;st;rw;rwz;rf;rwz;b;st;st;b;b",5,8,3,2,6,4,8,1,6,6,5,2,6,3,6,1,5,5,1,1,533.67,192.59,102336
simple_spi_orig.bench,613.13,185.99,113405,"b;rs;f;rw;st;rf;rwz;rfz;f;rs;rw;rf;rw;rf;rwz;rf;f;b;b;rf",1,4,7,2,5,3,6,8,7,4,2,3,2,3,6,3,7,1,1,3,537.47,185.97,99345
simple_spi_orig.bench,613.13,185.99,113405,"b;st;f;rwz;rw;rs;rfz;rfz;b;b;rs;rwz;rs;rs;rfz;b;rw;b;rw;st",1,5,7,6,2,4,8,8,1,1,4,6,4,4,8,1,2,1,2,5,560.32,183.82,102480
simple_spi_orig.bench,613.13,185.99,113405,"b;st;b;f;rwz;b;rs;rs;rf;rfz;f;rfz;rf;rfz;rfz;rs;b;b;rfz;rf",1,5,1,7,6,1,4,4,3,8,7,8,3,8,8,4,1,1,8,3,560.25,190.06,106400
