Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
pci_orig.bench,1,11541.05,437.15,5043417
pci_orig.bench,2,11665.67,430.49,5015950
pci_orig.bench,3,11538.03,422.46,4869036
pci_orig.bench,4,11838.85,415.07,4912770
pci_orig.bench,5,11947.52,465.75,5555355
pci_orig.bench,6,11774.42,412.36,4850888
pci_orig.bench,7,11367.99,610.25,6933870
pci_orig.bench,8,11439.46,421.38,4815819
pci_orig.bench,9,11779.83,431.76,5076749
pci_orig.bench,10,11797.41,424.65,5001928
pci_orig.bench,11,11528.07,461.17,5314408
pci_orig.bench,12,11341.16,409.80,4638469
pci_orig.bench,13,11763.18,422.88,4963986
pci_orig.bench,14,11638.03,421.00,4899598
pci_orig.bench,15,11586.94,436.89,5051496
pci_orig.bench,16,11747.65,434.97,5098198
pci_orig.bench,17,11586.27,478.28,5538108
pci_orig.bench,18,11767.70,435.16,5118645
pci_orig.bench,19,11720.57,411.78,4816920
pci_orig.bench,20,11663.08,473.72,5516599
pci_orig.bench,21,11665.85,421.41,4910965
pci_orig.bench,22,11541.88,449.35,5181909
pci_orig.bench,23,12136.74,400.98,4854400
pci_orig.bench,24,11287.15,435.16,4909845
pci_orig.bench,25,11613.30,599.19,6956187
pci_orig.bench,26,11812.39,429.08,5067348
pci_orig.bench,27,11629.26,478.28,5558662
pci_orig.bench,28,11824.29,420.65,4966080
pci_orig.bench,29,11694.86,429.58,5016726
pci_orig.bench,30,11941.77,470.31,5612270
pci_orig.bench,31,11205.27,616.18,6902280
pci_orig.bench,32,11484.74,479.97,5500836
pci_orig.bench,33,12042.51,418.67,5033556
pci_orig.bench,34,11818.50,465.75,5495370
pci_orig.bench,35,11768.81,470.31,5530960
pci_orig.bench,36,11803.22,429.78,5063487
pci_orig.bench,37,11838.10,412.72,4877256
pci_orig.bench,38,11446.71,478.42,5471188
pci_orig.bench,39,11655.39,426.43,4965030
pci_orig.bench,40,11920.58,442.96,5268640
pci_orig.bench,41,11664.86,454.73,5295456
pci_orig.bench,42,11742.12,433.55,5084286
pci_orig.bench,43,11564.34,449.94,5192236
pci_orig.bench,44,11905.91,427.32,5083435
pci_orig.bench,45,11704.09,406.56,4751824
pci_orig.bench,46,11282.91,558.41,6295356
