Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
simple_spi_orig.bench,1,565.30,194.45,109610
simple_spi_orig.bench,2,546.73,183.29,99918
simple_spi_orig.bench,3,562.70,193.50,108466
simple_spi_orig.bench,4,545.31,185.18,100825
simple_spi_orig.bench,5,532.16,202.19,107464
simple_spi_orig.bench,6,562.40,200.52,112400
simple_spi_orig.bench,7,571.99,194.71,110774
simple_spi_orig.bench,8,546.52,199.34,108654
simple_spi_orig.bench,9,533.67,192.59,102336
simple_spi_orig.bench,10,537.47,185.97,99345
simple_spi_orig.bench,11,560.32,183.82,102480
simple_spi_orig.bench,12,560.25,190.06,106400
simple_spi_orig.bench,13,578.38,184.87,106352
simple_spi_orig.bench,14,539.45,176.65,94864
simple_spi_orig.bench,15,562.43,184.34,103408
simple_spi_orig.bench,16,566.34,180.87,101880
simple_spi_orig.bench,17,531.84,185.97,98235
simple_spi_orig.bench,18,530.51,184.64,97520
simple_spi_orig.bench,19,572.40,180.26,102960
simple_spi_orig.bench,20,537.98,195.52,104715
simple_spi_orig.bench,21,564.31,185.97,104340
simple_spi_orig.bench,22,564.00,203.04,114492
simple_spi_orig.bench,23,563.43,200.18,112600
simple_spi_orig.bench,24,551.33,185.97,101935
simple_spi_orig.bench,25,536.97,200.52,107200
simple_spi_orig.bench,26,550.82,180.87,99000
simple_spi_orig.bench,27,562.97,203.11,114086
simple_spi_orig.bench,28,563.18,185.97,104155
simple_spi_orig.bench,29,543.44,189.53,102627
simple_spi_orig.bench,30,557.10,203.11,113071
simple_spi_orig.bench,31,527.68,185.97,97495
simple_spi_orig.bench,32,559.93,185.97,103415
simple_spi_orig.bench,33,558.21,201.86,112158
simple_spi_orig.bench,34,567.12,180.59,102060
simple_spi_orig.bench,35,563.35,179.08,100777
simple_spi_orig.bench,36,543.32,199.34,108057
simple_spi_orig.bench,37,537.71,187.89,100419
simple_spi_orig.bench,38,566.07,198.45,112068
simple_spi_orig.bench,39,566.99,182.38,103012
simple_spi_orig.bench,40,539.23,200.71,107800
simple_spi_orig.bench,41,529.28,189.41,99981
simple_spi_orig.bench,42,555.84,190.78,105450
simple_spi_orig.bench,43,560.31,185.18,103600
simple_spi_orig.bench,44,576.68,193.83,111168
simple_spi_orig.bench,45,558.44,184.67,102672
simple_spi_orig.bench,46,532.27,201.86,106932
simple_spi_orig.bench,47,534.68,184.36,98256
simple_spi_orig.bench,48,558.64,200.52,111600
simple_spi_orig.bench,49,569.85,196.96,111524
simple_spi_orig.bench,50,545.22,185.97,100825
simple_spi_orig.bench,51,564.02,193.72,108852
simple_spi_orig.bench,52,562.13,193.83,108466
simple_spi_orig.bench,53,530.86,201.86,106530
simple_spi_orig.bench,54,559.78,182.21,101738
simple_spi_orig.bench,55,539.39,183.29,98637
simple_spi_orig.bench,56,559.26,184.11,102856
simple_spi_orig.bench,57,570.85,185.52,105450
simple_spi_orig.bench,58,565.92,203.11,114695
simple_spi_orig.bench,59,544.73,191.44,103904
simple_spi_orig.bench,60,548.66,190.25,104120
simple_spi_orig.bench,61,518.90,201.86,104118
simple_spi_orig.bench,62,554.22,183.82,101382
simple_spi_orig.bench,63,571.14,185.97,105635
simple_spi_orig.bench,64,532.43,185.97,98420
simple_spi_orig.bench,65,570.20,183.29,104310
simple_spi_orig.bench,66,554.22,203.11,112462
simple_spi_orig.bench,67,523.68,185.97,96755
simple_spi_orig.bench,68,554.20,193.83,106922
simple_spi_orig.bench,69,553.18,180.87,99540
simple_spi_orig.bench,70,564.52,185.97,104340
simple_spi_orig.bench,71,564.98,203.58,114492
simple_spi_orig.bench,72,537.03,203.11,109011
simple_spi_orig.bench,73,559.77,181.94,101179
simple_spi_orig.bench,74,577.89,184.34,106168
simple_spi_orig.bench,75,533.73,185.29,98605
simple_spi_orig.bench,76,525.54,202.19,106050
simple_spi_orig.bench,77,548.41,202.36,110696
simple_spi_orig.bench,78,538.07,180.87,96840
simple_spi_orig.bench,79,578.30,192.61,110976
simple_spi_orig.bench,80,551.10,183.82,100833
simple_spi_orig.bench,81,563.25,193.19,108659
simple_spi_orig.bench,82,533.84,185.18,98605
simple_spi_orig.bench,83,546.89,184.11,100464
simple_spi_orig.bench,84,535.92,183.49,97905
simple_spi_orig.bench,85,541.21,194.45,104954
simple_spi_orig.bench,86,565.06,200.18,113000
simple_spi_orig.bench,87,534.89,201.86,107334
simple_spi_orig.bench,88,555.24,200.52,111000
simple_spi_orig.bench,89,545.19,190.78,103550
simple_spi_orig.bench,90,566.46,190.91,107540
simple_spi_orig.bench,91,555.80,194.14,107670
simple_spi_orig.bench,92,547.27,203.11,111041
simple_spi_orig.bench,93,564.30,184.34,103776
simple_spi_orig.bench,94,594.58,189.28,112266
simple_spi_orig.bench,95,566.96,185.97,104710
simple_spi_orig.bench,96,546.07,202.36,110292
simple_spi_orig.bench,97,557.54,201.86,111957
simple_spi_orig.bench,98,528.60,183.82,96624
simple_spi_orig.bench,99,564.47,196.63,110544
simple_spi_orig.bench,100,561.69,183.29,102663
simple_spi_orig.bench,101,551.25,193.83,106343
simple_spi_orig.bench,102,560.66,183.82,102480
simple_spi_orig.bench,103,552.16,180.87,99360
simple_spi_orig.bench,104,548.44,183.82,100284
simple_spi_orig.bench,105,558.40,185.18,103230
simple_spi_orig.bench,106,564.25,193.21,108852
simple_spi_orig.bench,107,537.75,186.42,99882
simple_spi_orig.bench,108,545.73,200.18,109000
simple_spi_orig.bench,109,542.47,200.52,108400
simple_spi_orig.bench,110,543.83,203.04,110229
simple_spi_orig.bench,111,520.45,201.86,104520
simple_spi_orig.bench,112,556.82,193.83,107308
simple_spi_orig.bench,113,531.33,202.19,107262
simple_spi_orig.bench,114,582.59,190.90,110580
simple_spi_orig.bench,115,540.16,187.89,100980
simple_spi_orig.bench,116,536.00,201.86,107736
simple_spi_orig.bench,117,562.96,183.71,102846
simple_spi_orig.bench,118,536.41,201.86,107736
simple_spi_orig.bench,119,535.08,200.52,107000
simple_spi_orig.bench,120,540.21,185.97,99900
simple_spi_orig.bench,121,538.33,183.82,98454
simple_spi_orig.bench,122,538.73,185.97,99530
simple_spi_orig.bench,123,532.43,185.97,98420
simple_spi_orig.bench,124,534.57,200.52,106800
simple_spi_orig.bench,125,539.88,183.49,98637
simple_spi_orig.bench,126,548.58,201.86,110148
simple_spi_orig.bench,127,571.95,193.83,110203
simple_spi_orig.bench,128,532.67,204.98,108528
simple_spi_orig.bench,129,561.03,193.50,108273
simple_spi_orig.bench,130,549.83,185.97,101565
simple_spi_orig.bench,131,545.90,190.78,103550
simple_spi_orig.bench,132,544.64,185.97,100640
simple_spi_orig.bench,133,534.18,181.91,96654
simple_spi_orig.bench,134,532.23,185.97,98420
simple_spi_orig.bench,135,552.14,185.97,102120
simple_spi_orig.bench,136,551.04,203.04,111853
simple_spi_orig.bench,137,540.01,185.18,99900
simple_spi_orig.bench,138,568.72,198.45,112464
simple_spi_orig.bench,139,537.97,209.50,112233
simple_spi_orig.bench,140,534.57,201.86,107334
simple_spi_orig.bench,141,566.20,193.50,109238
simple_spi_orig.bench,142,569.85,188.60,106972
simple_spi_orig.bench,143,545.85,183.16,99735
simple_spi_orig.bench,144,568.52,193.19,109624
simple_spi_orig.bench,145,535.75,183.29,97905
simple_spi_orig.bench,146,549.75,193.83,105957
simple_spi_orig.bench,147,563.23,199.34,112037
simple_spi_orig.bench,148,568.40,184.87,104512
simple_spi_orig.bench,149,538.79,183.29,98454
simple_spi_orig.bench,150,566.56,189.28,106974
simple_spi_orig.bench,151,540.91,201.86,108540
simple_spi_orig.bench,152,537.13,202.19,108474
simple_spi_orig.bench,153,563.48,193.50,108659
simple_spi_orig.bench,154,556.02,194.45,107864
simple_spi_orig.bench,155,553.15,185.97,102305
simple_spi_orig.bench,156,559.96,200.52,111800
simple_spi_orig.bench,157,542.44,195.52,105690
simple_spi_orig.bench,158,559.53,181.94,101179
simple_spi_orig.bench,159,552.14,183.29,101016
simple_spi_orig.bench,160,524.48,185.11,96940
simple_spi_orig.bench,161,572.21,185.97,105820
simple_spi_orig.bench,162,532.96,194.45,103208
simple_spi_orig.bench,163,532.73,200.52,106400
simple_spi_orig.bench,164,534.95,185.29,98790
simple_spi_orig.bench,165,546.54,183.82,99918
simple_spi_orig.bench,166,572.12,185.97,105820
simple_spi_orig.bench,167,546.82,202.36,110292
simple_spi_orig.bench,168,538.02,201.86,108138
simple_spi_orig.bench,169,555.53,185.05,102675
simple_spi_orig.bench,170,525.54,201.86,105525
simple_spi_orig.bench,171,544.08,185.29,100640
simple_spi_orig.bench,172,546.38,193.65,105378
simple_spi_orig.bench,173,574.24,193.83,110782
simple_spi_orig.bench,174,565.02,203.11,114695
simple_spi_orig.bench,175,549.55,183.29,100467
simple_spi_orig.bench,176,546.65,181.94,98826
simple_spi_orig.bench,177,536.40,200.52,107200
simple_spi_orig.bench,178,548.07,201.86,110148
simple_spi_orig.bench,179,529.27,187.89,98923
simple_spi_orig.bench,180,554.80,183.82,101382
simple_spi_orig.bench,181,566.87,185.18,104710
simple_spi_orig.bench,182,541.63,190.25,102790
simple_spi_orig.bench,183,562.38,193.83,108466
simple_spi_orig.bench,184,562.16,184.67,103408
simple_spi_orig.bench,185,567.70,185.97,104895
simple_spi_orig.bench,186,526.02,185.97,97310
simple_spi_orig.bench,187,551.02,203.04,111853
simple_spi_orig.bench,188,546.25,191.40,104286
simple_spi_orig.bench,189,541.88,181.94,97921
simple_spi_orig.bench,190,534.20,185.97,98790
simple_spi_orig.bench,191,528.58,181.91,95568
simple_spi_orig.bench,192,557.35,198.45,110286
simple_spi_orig.bench,193,548.24,193.65,105764
simple_spi_orig.bench,194,523.38,204.98,106692
simple_spi_orig.bench,195,556.04,201.86,111756
simple_spi_orig.bench,196,549.70,185.18,101565
simple_spi_orig.bench,197,546.74,185.97,101010
simple_spi_orig.bench,198,537.65,204.98,109548
simple_spi_orig.bench,199,564.74,184.87,103776
simple_spi_orig.bench,200,519.98,202.19,104838
simple_spi_orig.bench,201,553.66,193.83,106729
simple_spi_orig.bench,202,549.67,190.64,104310
simple_spi_orig.bench,203,536.66,190.25,101840
simple_spi_orig.bench,204,541.57,184.64,99544
simple_spi_orig.bench,205,546.59,177.83,96642
simple_spi_orig.bench,206,555.30,182.21,101010
simple_spi_orig.bench,207,540.45,183.82,98820
simple_spi_orig.bench,208,533.81,185.05,98605
simple_spi_orig.bench,209,540.15,203.11,109620
simple_spi_orig.bench,210,531.67,195.52,103545
simple_spi_orig.bench,211,545.39,183.82,99735
simple_spi_orig.bench,212,568.57,190.26,107920
simple_spi_orig.bench,213,564.04,183.16,103212
simple_spi_orig.bench,214,539.27,195.52,105105
simple_spi_orig.bench,215,561.18,183.82,102663
simple_spi_orig.bench,216,529.01,202.19,106858
simple_spi_orig.bench,217,569.27,174.14,99006
simple_spi_orig.bench,218,573.29,196.63,112308
simple_spi_orig.bench,219,544.37,184.14,100096
simple_spi_orig.bench,220,522.81,201.86,104922
simple_spi_orig.bench,221,554.72,199.34,110246
simple_spi_orig.bench,222,547.70,187.89,102289
simple_spi_orig.bench,223,542.01,180.27,97560
simple_spi_orig.bench,224,545.77,200.18,109000
simple_spi_orig.bench,225,567.22,184.64,104328
simple_spi_orig.bench,226,556.41,183.82,101748
simple_spi_orig.bench,227,562.07,180.87,101160
simple_spi_orig.bench,228,527.19,201.86,105927
simple_spi_orig.bench,229,532.34,200.52,106400
simple_spi_orig.bench,230,527.09,189.61,99603
simple_spi_orig.bench,231,556.70,180.87,100080
simple_spi_orig.bench,232,541.97,185.97,100085
simple_spi_orig.bench,233,531.19,183.82,97173
simple_spi_orig.bench,234,543.35,202.19,109686
simple_spi_orig.bench,235,561.40,182.65,102102
simple_spi_orig.bench,236,567.42,185.97,104895
simple_spi_orig.bench,237,563.51,188.60,105844
simple_spi_orig.bench,238,539.35,203.11,109417
simple_spi_orig.bench,239,539.29,189.99,101871
simple_spi_orig.bench,240,546.00,203.11,110838
simple_spi_orig.bench,241,545.54,189.47,103005
simple_spi_orig.bench,242,557.39,185.97,103045
simple_spi_orig.bench,243,548.14,196.96,107408
simple_spi_orig.bench,244,556.62,200.52,111200
simple_spi_orig.bench,245,575.45,186.19,106950
simple_spi_orig.bench,246,547.26,180.03,98460
simple_spi_orig.bench,247,573.32,183.29,104859
simple_spi_orig.bench,248,571.90,185.97,105635
simple_spi_orig.bench,249,539.26,190.25,102410
simple_spi_orig.bench,250,525.53,189.99,99225
simple_spi_orig.bench,251,558.42,200.18,111600
simple_spi_orig.bench,252,536.75,194.45,103984
simple_spi_orig.bench,253,559.31,185.97,103415
simple_spi_orig.bench,254,547.77,193.83,105571
simple_spi_orig.bench,255,549.22,181.94,99369
simple_spi_orig.bench,256,548.40,191.40,104668
